paper_id,page,figure_id,table_type,variation,description,ground_truth_path,cell_accuracy,row_match,notes,status
ctt_lancet_2024,7,fig1,forest_plot,subgroups with interaction p-values,Statin vs placebo new-onset diabetes by intensity,papers/ctt_lancet_2024/ground_truth/p7_fig1_forest_plot.csv,100.0%,13,, complete
ctt_lancet_2024,9,fig1,forest_plot,subgroups with interaction p-values,Statin vs placebo new-onset diabetes by intensity,papers/ctt_lancet_2024/ground_truth/p9_fig3_forest_plot.csv,100.0%,11,, complete
diabetes_obesity_metabolism_2023,6,fig3a,forest_plot,study_level_simple,"Gla-300 vs Gla-100 risk ratio for hypoglycemia (events/total)","papers/Diabetes Obesity Metabolism - 2023 - Joshi - Comparative clinical efficacy and safety of insulin glargine 300 U ml  Toujeo/ground_truth/p6_figA_forest_plot.csv",100.0%,12,, complete
diabetes_obesity_metabolism_2023,6,fig3b,forest_plot,study_level_simple,"Gla-300 vs Gla-100 risk ratio for hypoglycemia (events/total)","papers/Diabetes Obesity Metabolism - 2023 - Joshi - Comparative clinical efficacy and safety of insulin glargine 300 U ml  Toujeo/ground_truth/p6_figB_forest_plot.csv",100.0%,12,bbox crop needed for consistent 100%, complete
diabetes_obesity_metabolism_2023,6,fig3c,forest_plot,study_level_simple,"Gla-300 vs Gla-100 risk ratio for hypoglycemia (events/total)","papers/Diabetes Obesity Metabolism - 2023 - Joshi - Comparative clinical efficacy and safety of insulin glargine 300 U ml  Toujeo/ground_truth/p6_figC_forest_plot.csv",,,, complete
diabetes_obesity_metabolism_2023,6,fig3d,forest_plot,study_level_simple,"Gla-300 vs Gla-100 risk ratio for hypoglycemia (events/total)","papers/Diabetes Obesity Metabolism - 2023 - Joshi - Comparative clinical efficacy and safety of insulin glargine 300 U ml  Toujeo/ground_truth/p6_figD_forest_plot.csv",100.0%,9,,complete
lipitor_statr,4-5,figA,efficacy_results,spanning_headers_nested_rows,Percent change in LDL-C from baseline to Week 6 ITT population and by age subgroups,papers/20-702S025_Lipitor_statr/ground_truth/page-4-5_figA_efficacy_results.csv,,,,not started
lipitor_statr,4,figB,efficacy_results,multiline_cells_subgroups,Percent of patients Meeting NCEP LDL-C criteria at initial dose (Week 6),papers/20-702S025_Lipitor_statr/ground_truth/page-4_figB_efficacy_results.csv,,,,not started
lipitor_statr,5,figC,efficacy_results,multiline_cells_subgroups,Percent of patients Meeting NCEP LDL-C criteria at initial dose (Week 54),papers/20-702S025_Lipitor_statr/ground_truth/page-5_figC_efficacy_results.csv,,,,not started
lipitor_statr,6,figD,efficacy_results,multiline_cells_subgroups,Percent of patients with persistent transaminase elevations – Sensitivity Analyses,papers/20-702S025_Lipitor_statr/ground_truth/page-6_figD_efficacy_results.csv,,,,not started
lipitor_statr,12,fig3,study_schedule,sparse_markers_spanning_headers,Schedule of Study Evaluations and Procedures,papers/20-702S025_Lipitor_statr/ground_truth/page-12_fig3_study_schedule.csv,,,,not started
lipitor_statr,13,fig6,demographics,hierarchical_rows_mixed_format,Demographics and baseline characteristics,papers/20-702S025_Lipitor_statr/ground_truth/page-13_fig6_demographics.csv,,,,not started
lipitor_statr,14,fig9,patient_disposition,hierarchical_rows_n_percent,Summary of Patient Disposition,papers/20-702S025_Lipitor_statr/ground_truth/page-14_fig9_patient_disposition.csv,,,,not started
